web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Cook,Bournemouth,MID,1,0.01,0.05,40.4,183.3,12.0,206.0
Tchaouna,Burnley,MID,1,0.09,0.07,31.1,109.3,101.0,99.4
Mayenda,Sunderland,FWD,1,0.26,0.03,35.4,53.8,188.0,116.6
Munetsi,Wolves,MID,1,0.17,0.04,42.1,61.8,196.0,163.6
J.Ramsey,Newcastle,MID,1,0.09,0.08,55.2,229.3,129.0,193.4
Delap,Chelsea,FWD,0,0.46,0.02,42.3,56.2,311.0,65.0
Zirkzee,Man Utd,FWD,1,0.39,0.06,50.6,161.8,195.0,152.8
Dominguez,Nott'm Forest,MID,1,0.11,0.04,45.6,153.5,119.0,182.6
Bruun Larsen,Burnley,MID,1,0.13,0.1,43.2,189.7,128.0,114.4
Darlow,Leeds,GKP,1,0.0,0.0,29.3,0.0,0.0,290.8
Robertson,Liverpool,DEF,1,0.04,0.12,44.2,236.1,61.0,143.0
Kilman,West Ham,DEF,2,0.03,0.01,50.9,55.8,60.0,392.4
Veltman,Brighton,DEF,1,0.11,0.01,35.8,71.5,63.0,222.8
Gruda,Brighton,MID,1,0.24,0.11,50.0,217.1,152.0,134.4
Khusanov,Man City,DEF,1,0.04,0.01,23.2,48.6,10.0,172.0
Morato,Nott'm Forest,DEF,1,0.08,0.01,31.4,20.8,59.0,233.8
Danso,Spurs,DEF,1,0.02,0.02,26.5,10.4,33.0,220.8
Bogarde,Aston Villa,DEF,1,0.0,0.02,15.1,46.8,10.0,94.8
Adingra,Sunderland,MID,1,0.05,0.09,27.0,116.8,75.0,81.4
Potts,West Ham,MID,1,0.02,0.09,34.7,129.9,37.0,179.6
R.Gomes,Wolves,DEF,1,0.26,0.04,41.0,62.9,176.0,169.2
Bellegarde,Wolves,MID,1,0.09,0.06,44.1,154.2,138.0,152.4
Christie,Bournemouth,MID,1,0.21,0.07,43.9,148.0,140.0,147.8
Hickey,Brentford,DEF,1,0.06,0.03,13.9,16.2,42.0,82.6
Tosin,Chelsea,DEF,1,0.01,0.05,27.8,32.0,19.0,226.2
Acheampong,Chelsea,DEF,1,0.1,0.02,23.1,39.2,66.0,125.2
Ugarte,Man Utd,MID,1,0.06,0.02,23.6,64.8,38.0,134.6
Solanke,Spurs,FWD,1,0.28,0.02,43.2,62.2,212.0,158.8
Milner,Brighton,MID,1,0.14,0.09,31.5,135.2,54.0,127.6
Walker-Peters,West Ham,DEF,1,0.11,0.02,39.0,88.2,98.0,203.2
Andrey Santos,Chelsea,MID,1,0.16,0.07,33.7,125.9,61.0,150.4
Castagne,Fulham,DEF,1,0.09,0.04,47.1,131.5,111.0,226.8
Gomez,Liverpool,DEF,1,0.04,0.11,19.5,70.1,26.0,98.8
Bobb,Fulham,MID,1,0.06,0.19,41.7,217.7,107.0,90.4
Traoré,Sunderland,MID,1,0.07,0.04,35.9,108.4,135.0,115.6
Taty,West Ham,FWD,1,0.27,0.06,48.5,119.7,255.0,120.4
Rayan,Bournemouth,MID,1,0.15,0.18,35.8,123.8,111.0,124.0
Devenny,Crystal Palace,MID,1,0.36,0.05,34.5,94.5,164.0,86.6
Cairney,Fulham,MID,1,0.16,0.06,23.7,104.8,49.0,82.8
Isak,Liverpool,FWD,1,0.37,0.01,26.9,36.5,143.0,97.6
Møller Wolfe,Wolves,DEF,1,0.01,0.11,30.0,110.8,46.0,142.0
Douglas Luiz,Aston Villa,MID,1,0.06,0.16,50.7,262.2,83.0,162.6
Mazraoui,Man Utd,DEF,1,0.03,0.04,22.8,65.9,30.0,133.8
Toti,Wolves,DEF,1,0.02,0.02,35.3,78.2,34.0,240.4
Mosquera,Arsenal,DEF,1,0.0,0.07,21.5,51.0,10.0,153.8
Tuanzebe,Burnley,DEF,1,0.06,0.01,28.9,9.8,52.0,225.2
Aké,Man City,DEF,1,0.05,0.08,22.1,93.1,25.0,102.0
